              k             kx             ky
          1.035          0.667          0.119        -15.456        -12.779         -7.531         -2.507          3.110          8.939         12.130         18.340
          1.039          0.667          0.115        -15.464        -12.774         -7.509         -2.523          3.136          8.925         12.168         18.292
          1.043          0.667          0.112        -15.472        -12.770         -7.488         -2.539          3.161          8.911         12.205         18.245
          1.047          0.667          0.108        -15.480        -12.766         -7.467         -2.555          3.185          8.897         12.242         18.198
          1.051          0.667          0.104        -15.487        -12.761         -7.447         -2.570          3.208          8.884         12.279         18.151
          1.055          0.667          0.100        -15.495        -12.758         -7.427         -2.584          3.231          8.871         12.315         18.106
          1.058          0.667          0.096        -15.502        -12.754         -7.408         -2.598          3.252          8.859         12.350         18.061
          1.062          0.667          0.092        -15.508        -12.750         -7.390         -2.612          3.273          8.846         12.385         18.017
          1.066          0.667          0.089        -15.515        -12.747         -7.372         -2.624          3.293          8.835         12.419         17.974
          1.070          0.667          0.085        -15.521        -12.744         -7.355         -2.637          3.313          8.824         12.453         17.932
          1.074          0.667          0.081        -15.527        -12.741         -7.338         -2.648          3.331          8.813         12.485         17.891
          1.078          0.667          0.077        -15.532        -12.738         -7.322         -2.659          3.349          8.802         12.517         17.852
          1.082          0.667          0.073        -15.537        -12.736         -7.307         -2.670          3.366          8.793         12.548         17.813
          1.085          0.667          0.069        -15.542        -12.733         -7.292         -2.680          3.382          8.783         12.578         17.776
          1.089          0.667          0.065        -15.547        -12.731         -7.278         -2.689          3.397          8.774         12.606         17.741
          1.093          0.667          0.062        -15.552        -12.729         -7.265         -2.698          3.411          8.766         12.634         17.706
          1.097          0.667          0.058        -15.556        -12.727         -7.252         -2.707          3.424          8.758         12.660         17.674
          1.101          0.667          0.054        -15.560        -12.725         -7.241         -2.715          3.437          8.750         12.685         17.643
          1.105          0.667          0.050        -15.563        -12.723         -7.230         -2.722          3.449          8.743         12.709         17.614
          1.109          0.667          0.046        -15.567        -12.722         -7.219         -2.729          3.460          8.737         12.732         17.586
          1.112          0.667          0.042        -15.570        -12.720         -7.210         -2.735          3.470          8.730         12.752         17.561
          1.116          0.667          0.038        -15.573        -12.719         -7.201         -2.741          3.479          8.725         12.772         17.537
          1.120          0.667          0.035        -15.575        -12.718         -7.193         -2.746          3.487          8.720         12.789         17.516
          1.124          0.667          0.031        -15.577        -12.717         -7.186         -2.751          3.495          8.715         12.805         17.496
          1.128          0.667          0.027        -15.579        -12.716         -7.180         -2.755          3.501          8.711         12.820         17.479
          1.132          0.667          0.023        -15.581        -12.715         -7.175         -2.758          3.507          8.708         12.832         17.463
          1.135          0.667          0.019        -15.583        -12.714         -7.170         -2.761          3.512          8.705         12.843         17.451
          1.139          0.667          0.015        -15.584        -12.714         -7.166         -2.764          3.516          8.703         12.851         17.440
          1.143          0.667          0.012        -15.585        -12.713         -7.163         -2.765          3.519          8.701         12.858         17.432
          1.147          0.667          0.008        -15.585        -12.713         -7.161         -2.767          3.521          8.699         12.863         17.426
          1.151          0.667          0.004        -15.586        -12.713         -7.160         -2.768          3.522          8.699         12.866         17.422
          1.155          0.667          0.000        -15.586        -12.713         -7.160         -2.768          3.523          8.698         12.867         17.421
          1.161          0.660          0.000        -15.588        -12.709         -7.159         -2.770          3.527          8.698         12.865         17.421
          1.168          0.653          0.000        -15.595        -12.698         -7.157         -2.778          3.539          8.698         12.859         17.423
          1.175          0.647          0.000        -15.607        -12.679         -7.154         -2.790          3.558          8.697         12.849         17.426
          1.181          0.640          0.000        -15.622        -12.653         -7.150         -2.806          3.586          8.696         12.834         17.431
          1.188          0.633          0.000        -15.642        -12.620         -7.145         -2.828          3.620          8.695         12.816         17.436
          1.195          0.627          0.000        -15.666        -12.580         -7.138         -2.854          3.663          8.693         12.794         17.443
          1.201          0.620          0.000        -15.693        -12.534         -7.131         -2.884          3.712          8.691         12.767         17.451
          1.208          0.613          0.000        -15.723        -12.482         -7.122         -2.918          3.769          8.689         12.737         17.461
          1.215          0.607          0.000        -15.756        -12.424         -7.112         -2.955          3.832          8.686         12.702         17.472
          1.221          0.600          0.000        -15.792        -12.361         -7.100         -2.997          3.902          8.682         12.664         17.485
          1.228          0.593          0.000        -15.830        -12.292         -7.088         -3.041          3.978          8.678         12.621         17.500
          1.235          0.587          0.000        -15.869        -12.219         -7.074         -3.089          4.060          8.673         12.575         17.517
          1.241          0.580          0.000        -15.910        -12.142         -7.060         -3.139          4.147          8.667         12.525         17.535
          1.248          0.573          0.000        -15.953        -12.061         -7.044         -3.192          4.241          8.661         12.471         17.556
          1.255          0.567          0.000        -15.996        -11.976         -7.027         -3.248          4.339          8.653         12.414         17.579
          1.261          0.560          0.000        -16.041        -11.887         -7.008         -3.305          4.442          8.645         12.353         17.604
          1.268          0.553          0.000        -16.086        -11.795         -6.989         -3.364          4.549          8.635         12.288         17.632
